time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010481349642	88.7195	22.7495	2.40619	-0.702102	-0.440053	radar	1.63483	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.4999	22.2887	0.137509	-0.722428	-0.201603	lidar	1.21123	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.6214	22.24	0.894601	-0.734706	-0.208481	radar	3.91879	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.4934	21.6532	1.50521	-0.494866	0.0716768	lidar	0.386268	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.565	21.67	1.53554	-0.429939	0.0829392	radar	1.81444	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7146	21.1121	1.6898	-0.212711	0.156347	lidar	0.0344609	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7413	21.1311	1.42598	-0.374857	-0.0555142	radar	2.65761	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.855	20.9431	1.43196	-0.0571784	0.164086	lidar	0.19394	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9007	20.9683	1.154	-0.0137863	0.136844	radar	2.81036	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.4744	20.2471	0.354109	-0.743972	-0.372447	lidar	1.11182	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.5876	20.2862	0.99886	-0.6006	-0.194484	radar	2.4787	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.2905	19.6389	2.98714	0.0740508	0.298915	lidar	1.65886	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.0344	19.6501	1.5345	-0.0558588	0.113939	radar	10.5035	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5123	19.6968	0.389394	0.183125	0.181752	lidar	0.250714	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.5497	19.6998	0.747103	0.164195	0.175502	radar	0.328595	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2538	19.2206	0.774908	-0.853453	-0.508563	lidar	1.88919	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3112	19.258	1.06908	-0.641157	-0.302258	radar	0.854156	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.5044	18.7093	2.06904	-0.257484	0.0743818	lidar	0.895481	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4069	18.7084	1.61337	-0.469666	-0.243302	radar	1.78241	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2108	18.3655	0.950778	-0.376987	-0.0585308	lidar	0.192398	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2393	18.3719	0.96936	-0.368637	-0.0598747	radar	0.249336	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.0438	17.3847	1.49767	-1.14767	-0.477723	lidar	0.728379	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.0555	17.4311	1.47745	-0.769078	-0.0404574	radar	0.945261	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9785	16.965	0.934641	-0.419554	0.194091	lidar	0.614819	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.063	16.9776	1.02868	-0.355121	0.231798	radar	1.84928	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.198	16.5371	1.74927	-0.132783	0.225447	lidar	0.0934249	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.141	16.526	1.33603	-0.277524	0.0581392	radar	0.829046	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.38	16.3912	1.79989	0.0926049	0.231852	lidar	0.158156	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.269	16.3833	1.22117	0.0814243	0.212224	radar	1.94642	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.006	15.3996	0.488882	-1.10186	-0.594776	lidar	2.43137	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	102.995	15.4594	1.23384	-0.669103	-0.0819531	radar	4.92979	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.094	15.2493	1.43353	0.0422174	0.375109	lidar	0.896147	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.042	15.2434	1.31291	0.00135012	0.35092	radar	0.617921	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.537	14.4734	1.94385	-0.732808	-0.276412	lidar	1.40376	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.483	14.468	1.86936	-0.722438	-0.258183	radar	0.73089	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.815	14.0289	1.36587	-0.303326	0.155377	lidar	1.05374	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.774	14.0054	1.52213	-0.302549	0.194533	radar	1.3703	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.081	13.659	1.76345	-0.0583459	0.224906	lidar	0.0149315	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.082	13.6601	1.67499	-0.0661459	0.209663	radar	0.0651728	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.533	13.5727	1.88061	0.0829559	0.173803	lidar	0.0121603	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.485	13.5662	1.61308	0.0697962	0.162302	radar	0.4287	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.059	12.612	1.85872	-0.914499	-0.521328	lidar	1.63044	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.15	12.6551	2.38634	-0.683967	-0.220281	radar	2.04846	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.899	12.4664	1.37589	-0.0995386	0.279534	lidar	1.6427	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.917	12.4422	1.76055	-0.0855518	0.301151	radar	0.598838	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.794	12.5467	2.56887	0.318793	0.364616	lidar	0.145688	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.79	12.5549	2.12198	0.346367	0.419987	radar	0.526719	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.68	12.1244	1.80513	-0.284803	-0.212001	lidar	1.46336	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.73	12.1437	2.21825	-0.181651	-0.0983112	radar	0.581296	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.946	11.9941	2.87643	0.0240274	0.0944893	lidar	0.233138	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.908	11.9961	2.37738	0.044462	0.0932347	radar	0.529725	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.697	12.2896	2.14209	0.257565	0.167994	lidar	0.0297134	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	120.744	12.2937	2.28909	0.25639	0.164739	radar	0.462748	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.554	12.8325	3.96989	0.115604	-0.0263525	lidar	0.695188	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.434	12.8128	2.73488	0.0479952	-0.06667	radar	3.21027	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	124.903	12.7749	1.55745	-0.0562603	-0.0892888	lidar	0.303995	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	125.018	12.7874	2.60413	-0.0411062	-0.063318	radar	2.83696	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.844	13.318	3.6868	0.38869	0.24643	lidar	0.580413	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.76	13.3195	2.98357	0.461227	0.350481	radar	1.50893	127.506	13.153	127.609	13.2365	2.44434	0.495787
1477010511349642	129.946	13.7077	2.22924	0.212784	-0.0278393	lidar	0.614791	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	130.031	13.7205	2.50322	0.205878	-0.0363958	radar	1.4259	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.092	14.5025	2.65691	0.388639	0.101936	lidar	0.0696336	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.16	14.5092	2.83538	0.379078	0.0903457	radar	1.00946	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	135.062	15.0519	3.86188	0.028324	-0.186841	lidar	0.511595	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	135.031	15.0303	3.00444	-0.0620422	-0.290924	radar	1.41554	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.561	16.1976	2.76585	0.604641	0.316557	lidar	1.30328	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.593	16.1943	3.21894	0.539202	0.232173	radar	0.311521	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.325	17.016	3.19143	0.217681	-0.129217	lidar	0.533633	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.325	17.0124	3.0683	0.218665	-0.122241	radar	0.0813107	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.888	17.9871	3.25475	0.369711	0.0519349	lidar	0.109901	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.839	17.9817	3.08997	0.3782	0.063149	radar	0.525662	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.389	19.1611	3.49441	0.41896	0.0485432	lidar	0.0333291	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.457	19.1716	3.2971	0.439542	0.109428	radar	1.82344	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.245	20.4756	3.90022	0.408871	0.0200861	lidar	0.108533	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.208	20.4697	3.28221	0.488557	0.171072	radar	0.815982	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.683	22.1134	3.67893	0.62371	0.147755	lidar	0.0335579	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.664	22.1108	3.58828	0.642422	0.180089	radar	0.0684203	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.417	23.4962	3.46006	0.403493	-0.0849252	lidar	0.326813	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.394	23.4852	3.16633	0.454946	-0.00823353	radar	0.241818	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	156.043	24.8077	3.65451	0.411383	-0.0310126	lidar	0.0500534	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	156.018	24.805	3.06336	0.461766	0.0756484	radar	0.603324	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	158.896	26.0311	4.07162	0.32565	-0.0602444	lidar	0.283644	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.89	26.0263	3.44308	0.36372	0.0326212	radar	1.103	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.413	27.424	3.42417	0.522754	0.112655	lidar	0.0229653	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.439	27.431	3.1449	0.545507	0.167279	radar	0.445065	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.624	28.7709	3.03954	0.534227	0.0538367	lidar	0.0486906	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.732	28.7897	3.15661	0.528445	0.0643939	radar	3.01129	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	166.816	30.2059	4.47316	0.320518	-0.109823	lidar	0.485582	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.727	30.1774	3.39339	0.405281	0.0600742	radar	2.8734	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	169.099	31.3724	3.11272	0.467409	0.0615676	lidar	0.0166958	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.121	31.376	3.06773	0.467306	0.0680491	radar	0.156855	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	172.164	32.3425	4.16632	0.160787	-0.171332	lidar	0.479734	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.131	32.32	3.24813	0.119525	-0.215488	radar	1.66497	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.645	33.4529	3.05362	0.492105	0.157617	lidar	0.492225	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.628	33.4512	2.89627	0.504299	0.173389	radar	0.0786689	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.025	34.2075	2.95056	0.23566	-0.111905	lidar	0.305962	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.035	34.2037	2.71689	0.219175	-0.119014	radar	0.271392	177.211	33.8467	177.261	34.3262	2.52363	0.850119
